id	type	message	created_time	comments	likes	commentsandlikes
222540354541008_298237103637999	photo	FIM DO 14º E DO 15º DOS DEPUTADOS É MUITO ?_ _    A extinção desses vergonhosos salários foi um grande lance em favor da Sociedade_ mas infelizmente não foi muito nem o bastante. Isto talvez represente pouco mais de 1% do que retiram dos recursos da Nação em  seu favor. A causa maior está em que a eles é concedido um poder absoluto para fazer e desfazer qualquer regra ou lei sem o menor respaldo do povo. Amanhã_ numa bela madrugada_ como aquela em que aumentaram os seus salários em 62% em 2010_ eles tem condição de criar outras   mazelas. Por exemplo_ no mesmo momento em que aboliam o 14º e 15º salários_ eles aprovaram mais um aumento de nada menos do que 100 milhões para o Fundo Partidário_ que os beneficiam indiretamente. Além do mais_ o grosso do que auferem da Sociedade não é 14º_ 15º salários_ auxilio-paletó_ auxílio-moradia_ auxilio-graxa_ carros de luxo_ para usar no que der e vier_ serviços cartográficos_ viagens internacionais_ pensão milionária_ e outros absurdos.  O maior rombo vem com as malfadas emendas do Orçamento da União. Com essas emendas correm milhões para empreiteiras em seus redutos eleitorais ou para entidades ( associações) de que participam indiretamente. Esse poder absoluto concedido aos deputados caracterizam-nos como oligarcas que decidem o destino da Sociedade à revelia do povo. Numa verdadeira democracia essa excrescência não existiria.	2013-03-08T20:07:28+0000	0	2	2
222540354541008_298119700316406	photo	É MOLE OU QUER MAIS?	2013-03-08T15:55:05+0000	0	0	0
222540354541008_297758223685887	photo	PENSA QUE É SÓ NO BRASIL QUE TEM _CABRA SAFADO_?	2013-03-07T22:00:29+0000	0	1	1
222540354541008_297748840353492	photo	NOTÍCIA DA HORA!	2013-03-07T21:35:09+0000	0	0	0
222540354541008_297139370414439	photo	BYE BYE CAUDILHO!_ _Quem estiver com saudades de Chávez_ basta ligar_ no final da tarde_ a televisão no SBT...	2013-03-06T21:55:12+0000	0	0	0
222540354541008_296996567095386	status	_A REVOLUÇÃO SEM LÍDER_	2013-03-06T13:46:35+0000	0	1	1
222540354541008_296936663768043	photo	A VERDADE DÓI... MAS LIBERTA!__Sempre é tempo de mudar...	2013-03-06T12:05:29+0000	0	2	2
222540354541008_295651007229942	photo	PENSE EM UM SUJEITO CHEGADO EM UMA “CRISE DE IDENTIDADE”!__ Abraham Lincoln_ depois de Juscelino Kubitschek_ Getúlio Vargas_ Nelson Mandela e outros_ passou a ser o novo _alvo_ do aloprado.__ Será que só vão “fechar o diagnóstico” quando o “cumpanhêro” começar a dizer é Napoleão Bonaparte?	2013-03-03T17:14:39+0000	0	0	0
222540354541008_295542003907509	photo	COISAS DESSE BRASIL PETRALHA!_ _O cinismo dessa gente é uma arte...	2013-03-03T11:59:51+0000	0	0	0
222540354541008_295279613933748	video	O BARBEIRO (JESSIER QUIRINO)__Abra o link abaixo e assista um performance do poeta popular Jessier Quirino_ contando o “causo” do barbeiro e o matuto que estava programando uma viagem pela “ZOROPA”.	2013-03-02T22:58:09+0000	0	0	0
222540354541008_294851977309845	photo	_PAU QUE NASCE TORTO_ NÃO TEM JEITO_ MORRE TORTO..._	2013-03-01T21:30:52+0000	0	0	0
